country,continent,year,intUsagebypop,population,cybersecurityScore
Afghanistan,Asia,2000,0,20779953,0
Afghanistan,Asia,2005,1.2241,25654277,0.201
Afghanistan,Asia,2010,4,29185507,0.199
Afghanistan,Asia,2015,8.26,34413603,0.265
Afghanistan,Asia,2016,11.2,36296400,0.253
Afghanistan,Asia,2017,13.5,37172386,0.245
Afghanistan,Asia,2018,13.6,37172386,0.177
Albania,Europe,2000,0.1141,3089027,0
Albania,Europe,2005,6.0439,3011487,0.102
Albania,Europe,2010,45,2913021,0.206
Albania,Europe,2015,63.2529,2880703,0.262
Albania,Europe,2016,66.3634,2876101,0.301
Albania,Europe,2017,71.847,2873457,0.314
Albania,Europe,2018,71.849,2866376,0.631
Algeria,Africa,2000,0.4917,31042235,0
Algeria,Africa,2005,5.8439,33149724,0.11
Algeria,Africa,2010,12.5,35977455,0.167
Algeria,Africa,2015,38.2,39728025,0.247
Algeria,Africa,2016,42.9455,40551404,0.291
Algeria,Africa,2017,47.6911,41389198,0.432
Algeria,Africa,2018,49.0385,42228429,0.262
Argentina,America,2000,7.0387,36870787,0
Argentina,America,2005,17.7206,38892931,0.231
Argentina,America,2010,45,40788453,0.402
Argentina,America,2015,68.0431,43131966,0.436
Argentina,America,2016,70.969,43590368,0.45
Argentina,America,2017,74.2949,44044811,0.482
Argentina,America,2018,74.2949,44494502,0.407
Armenia,Asia,2000,1.3005,3069591,0
Armenia,Asia,2005,5.253,2981269,0.114
Armenia,Asia,2010,25,2877319,0.166
Armenia,Asia,2015,59.1024,2925553,0.177
Armenia,Asia,2016,64.346,2936146,0.189
Armenia,Asia,2017,64.7449,2944809,0.196
Armenia,Asia,2018,64.7449,2951776,0.495
Australia,Ocenia,2000,46.7561,19153000,0
Australia,Ocenia,2005,63,20394800,0.213
Australia,Ocenia,2010,76,22031750,0.645
Australia,Ocenia,2015,84.5605,24190907,0.765
Australia,Ocenia,2016,86.54,24601860,0.773
Australia,Ocenia,2017,86.545,24982688,0.824
Australia,Ocenia,2018,86.545,25002688,0.89
Austria,Europe,2000,33.7301,8011566,0
Austria,Europe,2005,58,8227829,0.513
Austria,Europe,2010,75.17,8363404,0.676
Austria,Europe,2015,83.9401,8642699,0.694
Austria,Europe,2016,84.3237,8736668,0.654
Austria,Europe,2017,87.9356,8797566,0.639
Austria,Europe,2018,87.4791,8840521,0.826
Azerbaijan,Asia,2000,0.1478,8048600,0
Azerbaijan,Asia,2005,8.0304,8391850,0.321
Azerbaijan,Asia,2010,46,9054332,0.478
Azerbaijan,Asia,2015,77,9649341,0.539
Azerbaijan,Asia,2016,78.2,9757812,0.548
Azerbaijan,Asia,2017,79,9854033,0.559
Azerbaijan,Asia,2018,79.8,9939771,0.653
Bahrain,Asia,2000,6.1537,664611,0
Bahrain,Asia,2005,21.3037,889164,0.1
Bahrain,Asia,2010,55,1240860,0.294
Bahrain,Asia,2015,93.4783,1371851,0.334
Bahrain,Asia,2016,98,1425791,0.379
Bahrain,Asia,2017,95.8781,1494074,0.467
Bahrain,Asia,2018,98.6447,1569439,0.585
Bangladesh,Asia,2000,0.071,127657854,0
Bangladesh,Asia,2005,0.2416,139035505,0.12
Bangladesh,Asia,2010,3.7,147575430,0.2341
Bangladesh,Asia,2015,14.4,156256276,0.269
Bangladesh,Asia,2016,18.02,157970840,0.419
Bangladesh,Asia,2017,15,159670593,0.524
Bangladesh,Asia,2018,14,161356039,0.535
Belarus,Europe,2000,1.8604,9979610,0
Belarus,Europe,2010,31.8,9663915,0.12
