,Total population in mlns,Mobile users,Internet users,Active SM users,Internet time/day in mins,SM use /day in mins
Worldwide,7794.7,7950,4540,3800,414,145
China,1439.3,1610,854.5,1040,350,132
India,1380,1060,687.6,400,390,144
USA,331,353.2,288.1,230,402,163
Brazil,212.6,205.8,150.4,140,281,221
Japan,126.5,191.7,116.5,82,262,45
Russia,145.9,237.6,118,70,427,146
Indonesia,273.5,338.2,175,160,479,206
Mexico,128.9,114.3,89,88,501,205
Germany,83.65,110.7,77.79,38,292,79
Philippines,109.5,173,73,72,585,233
United Kingdom,67.8,72.41,65,45,328,102
Turkey,84.3,77.39,62.07,54,449,171
South Korea,51,60.61,49.21,44.73,322,73
Canada,37.7,36.23,35.32,25,353,109
Italy,60.4,80.4,49.48,35,360,117
Saudi Arabia,34.8,40.2,32.23,25,466,182
France,65.2,65.53,58.03,39,308,102
Uzbekistan,33.4,25.14,18.34,3.2,201,159
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
